Issuer Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Nominal,Price,Location,Exchange,Market Currency
LULU,LULULEMON ATHLETICA INC,Consumer Discretionary,Equity,29836299.4,0.02155,29836299.4,178982,166.7,United States,NASDAQ,USD
BOL,BOLIDEN,Materials,Equity,29814926.98,0.02154,29814926.98,505031,59.04,Sweden,Nasdaq Omx Nordic,SEK
AGI,ALAMOS GOLD INC CLASS A,Materials,Equity,29825252.02,0.02154,29825252.02,668802,44.6,Canada,Toronto Stock Exchange,CAD
5401,NIPPON STEEL CORP,Materials,Equity,29747648.52,0.02149,29747648.52,7992800,3.72,Japan,Tokyo Stock Exchange,JPY
HNR1,HANNOVER RUECK,Financials,Equity,29752252.12,0.02149,29752252.12,91002,326.94,Germany,Xetra,EUR
ZBH,ZIMMER BIOMET HOLDINGS INC,Health Care,Equity,29738196.15,0.02148,29738196.15,320835,92.69,United States,New York Stock Exchange Inc.,USD
AMCR,AMCOR PLC,Materials,Equity,29705107.2,0.02146,29705107.2,722752,41.1,United States,New York Stock Exchange Inc.,USD
TEF,TELEFONICA SA,Communication,Equity,29678464.21,0.02144,29678464.21,6462121,4.59,Spain,Bolsa De Madrid,EUR
TRMB,TRIMBLE INC,Information Technology,Equity,29512814.76,0.02132,29512814.76,427908,68.97,United States,NASDAQ,USD
BG,BUNGE GLOBAL SA,Consumer Staples,Equity,29445604.13,0.02127,29445604.13,234011,125.83,United States,New York Stock Exchange Inc.,USD
RBA,RB GLOBAL INC,Industrials,Equity,29415977.18,0.02125,29415977.18,283015,103.94,Canada,Toronto Stock Exchange,CAD
7269,SUZUKI MOTOR CORP,Consumer Discretionary,Equity,29125270.86,0.02104,29125270.86,2484416,11.72,Japan,Tokyo Stock Exchange,JPY
VACN,VAT GROUP AG,Industrials,Equity,29073131.57,0.021,29073131.57,38954,746.35,Switzerland,SIX Swiss Exchange,CHF
CDW,CDW CORP,Information Technology,Equity,28987777.31,0.02094,28987777.31,204991,141.41,United States,NASDAQ,USD
ASTS,AST SPACEMOBILE INC CLASS A,Communication,Equity,28846805.4,0.02084,28846805.4,360540,80.01,United States,NASDAQ,USD
GPN,GLOBAL PAYMENTS INC,Financials,Equity,28812970.48,0.02081,28812970.48,402472,71.59,United States,New York Stock Exchange Inc.,USD
GMAB,GENMAB,Health Care,Equity,28770660.06,0.02078,28770660.06,105635,272.36,Denmark,Omx Nordic Exchange Copenhagen A/S,DKK
CHF,CHF CASH,Cash and/or Derivatives,Cash,28749762.09,0.02077,28749762.09,22419064,128.24,Switzerland,--,CHF
